Modeles avec overshooting et nouvelles opacites, Z=0.040, 1 X Mdot, Schaerer et 

  21   51

 4 2.3436115E+06  24.5756 5.052 4.547 0.620000 0.340000 0.009730 0.002474 0.021073  4.547 -6.625
 5 2.9522825E+06  24.4165 5.084 4.535 0.620000 0.340000 0.009730 0.002474 0.021073  4.535 -6.543
 6 3.6625200E+06  24.1836 5.124 4.515 0.620000 0.340000 0.009730 0.002474 0.021073  4.515 -6.428
 7 4.2721410E+06  23.9197 5.162 4.486 0.620000 0.340000 0.009730 0.002474 0.021073  4.486 -6.303
 8 4.6601435E+06  23.7044 5.188 4.459 0.620000 0.340000 0.009730 0.002474 0.021073  4.459 -6.212
 9 5.0225780E+06  23.4543 5.214 4.422 0.620000 0.340000 0.009730 0.002474 0.021073  4.422 -6.114
10 5.2296835E+06  23.2823 5.231 4.393 0.620000 0.340000 0.009730 0.002474 0.021073  4.393 -6.052
11 5.4756210E+06  23.0424 5.255 4.360 0.620000 0.340000 0.009730 0.002474 0.021073  4.360 -5.978
12 5.5306335E+06  22.9841 5.294 4.421 0.620000 0.340000 0.009730 0.002474 0.021073  4.421 -5.985
13 5.5338695E+06  22.9806 5.305 4.369 0.620000 0.340000 0.009730 0.002474 0.021073  4.369 -5.962
14 5.5348400E+06  22.9793 5.307 4.351 0.620000 0.340000 0.009730 0.002474 0.021073  4.351 -5.876
15 5.5370730E+06  22.9759 5.317 4.259 0.620000 0.340000 0.009730 0.002474 0.021073  4.259 -5.769
16 5.5388205E+06  22.9723 5.320 4.152 0.620000 0.340000 0.009730 0.002474 0.021073  4.152 -5.628
17 5.5397670E+06  22.9696 5.321 4.071 0.620000 0.340000 0.009730 0.002474 0.021073  4.071 -5.465
18 5.5405940E+06  22.9660 5.320 3.979 0.620000 0.340000 0.009730 0.002474 0.021073  3.979 -5.264
19 5.5412930E+06  22.9609 5.317 3.883 0.620000 0.340000 0.009730 0.002474 0.021073  3.883 -5.052
20 5.5436370E+06  22.9348 5.290 3.779 0.620000 0.340000 0.009730 0.002474 0.021073  3.779 -4.924
21 5.5445715E+06  22.9231 5.300 3.762 0.620000 0.340000 0.009730 0.002474 0.021073  3.762 -4.885
22 5.5523605E+06  22.7919 5.353 3.736 0.619906 0.340093 0.009681 0.002496 0.021067  3.736 -4.743
23 5.5833255E+06  22.2199 5.359 3.734 0.616301 0.343684 0.009358 0.002993 0.020831  3.734 -4.729
24 5.6111185E+06  21.6973 5.363 3.735 0.613466 0.346513 0.009167 0.003363 0.020646  3.735 -4.722
25 5.6377740E+06  21.1882 5.365 3.736 0.605671 0.354296 0.008695 0.004333 0.020152  3.736 -4.717
26 5.6644905E+06  20.6713 5.369 3.737 0.602921 0.357042 0.008536 0.004665 0.019981  3.737 -4.710
27 5.6896710E+06  20.1773 5.372 3.738 0.600286 0.359673 0.008386 0.004981 0.019819  3.738 -4.705
28 5.7158200E+06  19.6578 5.374 3.740 0.597455 0.362502 0.008243 0.005290 0.019655  3.740 -4.699
29 5.7418505E+06  19.1348 5.377 3.741 0.594485 0.365470 0.008110 0.005586 0.019495  3.741 -4.695
30 5.7683880E+06  18.5969 5.379 3.743 0.589590 0.370365 0.007910 0.006041 0.019243  3.743 -4.691
31 5.7966300E+06  18.0204 5.382 3.746 0.582759 0.377197 0.007656 0.006633 0.018909  3.746 -4.689
